4.9621 	WARNING 	Monitor specification not found. Creating a temporary one...
4.9678 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
6.1938 	EXP 	Created leftCard = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='imgs/card5.png', interpolate=False, mask=None, maskParams=None, name='leftCard', opacity=1, ori=0.0, pos=array([-0.5,  0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
6.2779 	EXP 	Created middleCard = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='imgs/card5.png', interpolate=False, mask=None, maskParams=None, name='middleCard', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
6.3611 	EXP 	Created rightCard = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='imgs/card5.png', interpolate=False, mask=None, maskParams=None, name='rightCard', opacity=1, ori=0.0, pos=array([0.5, 0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
6.3614 	EXP 	New trial (rep=0, index=0): {'freqLeft': 4.3, 'freqMiddle': 6, 'freqRight': 7.5}
6.4554 	EXP 	rightCard: texRes = 128
6.5221 	EXP 	middleCard: texRes = 128
6.5221 	EXP 	rightCard: texRes = 128
6.5896 	EXP 	leftCard: texRes = 128
6.5896 	EXP 	middleCard: texRes = 128
6.5896 	EXP 	rightCard: texRes = 128
6.6722 	EXP 	leftCard: texRes = 128
6.6722 	EXP 	middleCard: texRes = 128
6.6722 	EXP 	rightCard: texRes = 128
6.7395 	EXP 	leftCard: texRes = 128
6.7395 	EXP 	middleCard: texRes = 128
6.7395 	EXP 	rightCard: texRes = 128
6.7895 	EXP 	middleCard: texRes = 128
6.7895 	EXP 	rightCard: texRes = 128
6.8571 	EXP 	leftCard: texRes = 128
6.8571 	EXP 	middleCard: texRes = 128
6.8571 	EXP 	rightCard: texRes = 128
6.8895 	EXP 	rightCard: texRes = 128
6.9730 	EXP 	leftCard: texRes = 128
6.9730 	EXP 	middleCard: texRes = 128
6.9730 	EXP 	rightCard: texRes = 128
7.0565 	EXP 	leftCard: texRes = 128
7.0565 	EXP 	middleCard: texRes = 128
7.0565 	EXP 	rightCard: texRes = 128
7.1238 	EXP 	middleCard: texRes = 128
7.1238 	EXP 	rightCard: texRes = 128
7.2081 	EXP 	leftCard: texRes = 128
7.2081 	EXP 	middleCard: texRes = 128
7.2081 	EXP 	rightCard: texRes = 128
7.3082 	EXP 	leftCard: texRes = 128
7.3082 	EXP 	middleCard: texRes = 128
7.3082 	EXP 	rightCard: texRes = 128
7.4071 	EXP 	leftCard: texRes = 128
7.4071 	EXP 	middleCard: texRes = 128
7.4071 	EXP 	rightCard: texRes = 128
7.4906 	EXP 	leftCard: texRes = 128
7.4906 	EXP 	middleCard: texRes = 128
7.4906 	EXP 	rightCard: texRes = 128
7.5574 	EXP 	leftCard: texRes = 128
7.5574 	EXP 	middleCard: texRes = 128
7.5574 	EXP 	rightCard: texRes = 128
7.6067 	EXP 	middleCard: texRes = 128
7.6067 	EXP 	rightCard: texRes = 128
7.6904 	EXP 	leftCard: texRes = 128
7.6904 	EXP 	middleCard: texRes = 128
7.6904 	EXP 	rightCard: texRes = 128
7.7570 	EXP 	leftCard: texRes = 128
7.7570 	EXP 	middleCard: texRes = 128
7.7570 	EXP 	rightCard: texRes = 128
7.8071 	EXP 	middleCard: texRes = 128
7.8071 	EXP 	rightCard: texRes = 128
7.8904 	EXP 	leftCard: texRes = 128
7.8904 	EXP 	middleCard: texRes = 128
7.8904 	EXP 	rightCard: texRes = 128
7.9738 	EXP 	leftCard: texRes = 128
7.9738 	EXP 	middleCard: texRes = 128
7.9738 	EXP 	rightCard: texRes = 128
8.0406 	EXP 	middleCard: texRes = 128
8.0406 	EXP 	rightCard: texRes = 128
8.1241 	EXP 	leftCard: texRes = 128
8.1241 	EXP 	middleCard: texRes = 128
8.1241 	EXP 	rightCard: texRes = 128
8.2075 	EXP 	leftCard: texRes = 128
8.2075 	EXP 	middleCard: texRes = 128
8.2075 	EXP 	rightCard: texRes = 128
8.2909 	EXP 	leftCard: texRes = 128
8.2909 	EXP 	middleCard: texRes = 128
8.2909 	EXP 	rightCard: texRes = 128
8.3576 	EXP 	middleCard: texRes = 128
8.3576 	EXP 	rightCard: texRes = 128
8.4408 	EXP 	leftCard: texRes = 128
8.4408 	EXP 	middleCard: texRes = 128
8.4408 	EXP 	rightCard: texRes = 128
8.5242 	EXP 	leftCard: texRes = 128
8.5242 	EXP 	middleCard: texRes = 128
8.5242 	EXP 	rightCard: texRes = 128
8.6079 	EXP 	leftCard: texRes = 128
8.6079 	EXP 	middleCard: texRes = 128
8.6079 	EXP 	rightCard: texRes = 128
8.6915 	EXP 	leftCard: texRes = 128
8.6915 	EXP 	middleCard: texRes = 128
8.6915 	EXP 	rightCard: texRes = 128
8.7582 	EXP 	middleCard: texRes = 128
8.7582 	EXP 	rightCard: texRes = 128
8.8586 	EXP 	leftCard: texRes = 128
8.8586 	EXP 	middleCard: texRes = 128
8.8586 	EXP 	rightCard: texRes = 128
8.9419 	EXP 	leftCard: texRes = 128
8.9419 	EXP 	middleCard: texRes = 128
8.9419 	EXP 	rightCard: texRes = 128
9.0423 	EXP 	leftCard: texRes = 128
9.0423 	EXP 	middleCard: texRes = 128
9.0423 	EXP 	rightCard: texRes = 128
9.1262 	EXP 	leftCard: texRes = 128
9.1262 	EXP 	middleCard: texRes = 128
9.1262 	EXP 	rightCard: texRes = 128
9.2263 	EXP 	leftCard: texRes = 128
9.2263 	EXP 	middleCard: texRes = 128
9.2263 	EXP 	rightCard: texRes = 128
9.3095 	EXP 	leftCard: texRes = 128
9.3095 	EXP 	middleCard: texRes = 128
9.3095 	EXP 	rightCard: texRes = 128
9.3929 	EXP 	leftCard: texRes = 128
9.3929 	EXP 	middleCard: texRes = 128
9.3929 	EXP 	rightCard: texRes = 128
9.4597 	EXP 	middleCard: texRes = 128
9.4597 	EXP 	rightCard: texRes = 128
9.5431 	EXP 	leftCard: texRes = 128
9.5431 	EXP 	middleCard: texRes = 128
9.5431 	EXP 	rightCard: texRes = 128
9.6266 	EXP 	leftCard: texRes = 128
9.6266 	EXP 	middleCard: texRes = 128
9.6266 	EXP 	rightCard: texRes = 128
9.7104 	EXP 	leftCard: texRes = 128
9.7104 	EXP 	middleCard: texRes = 128
9.7104 	EXP 	rightCard: texRes = 128
9.7616 	EXP 	middleCard: texRes = 128
9.7616 	EXP 	rightCard: texRes = 128
9.8447 	EXP 	leftCard: texRes = 128
9.8447 	EXP 	middleCard: texRes = 128
9.8447 	EXP 	rightCard: texRes = 128
9.9112 	EXP 	leftCard: texRes = 128
9.9112 	EXP 	middleCard: texRes = 128
9.9112 	EXP 	rightCard: texRes = 128
9.9786 	EXP 	middleCard: texRes = 128
9.9786 	EXP 	rightCard: texRes = 128
10.0620 	EXP 	leftCard: texRes = 128
10.0620 	EXP 	middleCard: texRes = 128
10.0620 	EXP 	rightCard: texRes = 128
10.1453 	EXP 	leftCard: texRes = 128
10.1453 	EXP 	middleCard: texRes = 128
10.1453 	EXP 	rightCard: texRes = 128
10.2287 	EXP 	leftCard: texRes = 128
10.2287 	EXP 	middleCard: texRes = 128
10.2287 	EXP 	rightCard: texRes = 128
10.3122 	EXP 	leftCard: texRes = 128
10.3122 	EXP 	middleCard: texRes = 128
10.3122 	EXP 	rightCard: texRes = 128
10.3792 	EXP 	middleCard: texRes = 128
10.3792 	EXP 	rightCard: texRes = 128
10.4630 	EXP 	leftCard: texRes = 128
10.4630 	EXP 	middleCard: texRes = 128
10.4630 	EXP 	rightCard: texRes = 128
10.5471 	EXP 	leftCard: texRes = 128
10.5471 	EXP 	middleCard: texRes = 128
10.5471 	EXP 	rightCard: texRes = 128
10.6306 	EXP 	leftCard: texRes = 128
10.6306 	EXP 	middleCard: texRes = 128
10.6306 	EXP 	rightCard: texRes = 128
10.6971 	EXP 	leftCard: texRes = 128
10.6971 	EXP 	middleCard: texRes = 128
10.6971 	EXP 	rightCard: texRes = 128
10.7474 	EXP 	middleCard: texRes = 128
10.7474 	EXP 	rightCard: texRes = 128
10.8306 	EXP 	leftCard: texRes = 128
10.8306 	EXP 	middleCard: texRes = 128
10.8306 	EXP 	rightCard: texRes = 128
10.8970 	EXP 	middleCard: texRes = 128
10.8970 	EXP 	rightCard: texRes = 128
10.9972 	EXP 	leftCard: texRes = 128
10.9972 	EXP 	middleCard: texRes = 128
10.9972 	EXP 	rightCard: texRes = 128
11.0806 	EXP 	leftCard: texRes = 128
11.0806 	EXP 	middleCard: texRes = 128
11.0806 	EXP 	rightCard: texRes = 128
11.1485 	EXP 	leftCard: texRes = 128
11.1485 	EXP 	middleCard: texRes = 128
11.1485 	EXP 	rightCard: texRes = 128
11.2156 	EXP 	leftCard: texRes = 128
11.2156 	EXP 	middleCard: texRes = 128
11.2156 	EXP 	rightCard: texRes = 128
11.2813 	EXP 	middleCard: texRes = 128
11.2813 	EXP 	rightCard: texRes = 128
11.3647 	EXP 	leftCard: texRes = 128
11.3647 	EXP 	middleCard: texRes = 128
11.3647 	EXP 	rightCard: texRes = 128
11.4484 	EXP 	leftCard: texRes = 128
11.4484 	EXP 	middleCard: texRes = 128
11.4484 	EXP 	rightCard: texRes = 128
11.5144 	DATA 	Keypress: escape
11.5324 	EXP 	leftCard: texRes = 128
11.5324 	EXP 	middleCard: texRes = 128
11.5324 	EXP 	rightCard: texRes = 128
11.5822 	EXP 	middleCard: texRes = 128
11.5822 	EXP 	rightCard: texRes = 128
11.6658 	EXP 	leftCard: texRes = 128
11.6658 	EXP 	middleCard: texRes = 128
11.6658 	EXP 	rightCard: texRes = 128
11.7988 	EXP 	window1: mouseVisible = True
